lat,lon,name,admin1,admin2,cc
30.4413,-87.1911,Pensacola,Florida,Escambia,US
36.0714,-94.1661,Fayetteville,Arkansas,Washington,US
32.6998,-97.1250,Arlington,Texas,Tarrant,US
39.7083,-104.7237,Aurora,Colorado,Arapahoe,US
34.1964,-119.1815,Oxnard,California,Ventura,US
33.7346,-116.2346,Indio,California,Riverside,US
41.4044,-75.6649,Scranton,Pennsylvania,Lackawanna,US
34.5277,-117.3536,Victorville,California,San Bernardino,US
40.2237,-74.7641,Trenton,New Jersey,Mercer,US
37.6375,-121.0028,Modesto,California,Stanislaus,US
21.3294,-157.8460,Honolulu,Hawaii,Honolulu,US
34.6981,-86.6412,Huntsville,Alabama,Madison,US
33.8390,-117.8574,Anaheim,California,Orange,US
36.0956,-79.8271,Greensboro,North Carolina,Guilford,US
27.7254,-97.3767,Corpus Christi,Texas,Nueces,US
41.0888,-85.1436,Fort Wayne,Indiana,Allen,US
40.5477,-105.0656,Fort Collins,Colorado,Larimer,US
32.3157,-90.2125,Jackson,Mississippi,Hinds,US
33.7094,-78.8844,Myrtle Beach,South Carolina,Horry,US
35.0850,-78.9772,Fayetteville,North Carolina,Cumberland,US
37.9787,-121.7960,Antioch,California,Contra Costa,US
42.7142,-84.5601,Lansing,Michigan,Ingham,US
38.0423,-84.4587,Lexington,Kentucky,Fayette,US
30.6782,-88.1162,Mobile,Alabama,Mobile,US
41.0993,-80.6463,Youngstown,Ohio,Mahoning,US
32.0286,-81.1821,Savannah,Georgia,Chatham,US
41.6950,-73.9211,Poughkeepsie,New York,Dutchess,US
33.7367,-117.8819,Santa Ana,California,Orange,US
36.0133,-115.0381,Henderson,Nevada,Clark,US
44.9478,-93.1039,St. Paul,Minnesota,Ramsey,US
42.2759,-83.7310,Ann Arbor,Michigan,Washtenaw,US
40.7245,-74.1725,Newark,New Jersey,Essex,US
33.6772,-117.7738,Irvine,California,Orange,US
38.4458,-122.7067,Santa Rosa,California,Sonoma,US
40.8078,-81.3676,Canton,Ohio,Stark,US
35.5707,-82.5537,Asheville,North Carolina,Buncombe,US
43.0236,-83.6921,Flint,Michigan,Genesee,US
28.0118,-81.7014,Winter Haven,Florida,Polk,US
